Time resolution is 1 ps
Time: 939155000 | State: 10 | Score:  972 | Level: 14 | Life Span:         60 | Gen Interval:         60
Time: 944645000 | State: 10 | Score:  972 | Level: 15 | Life Span:         60 | Gen Interval:         60
Time: 950135000 | State: 10 | Score:  972 | Level:  0 | Life Span:         60 | Gen Interval:         60
Time: 1023355000 | State: 10 | Score:  972 | Level:  1 | Life Span:         60 | Gen Interval:         60
Time: 1029435000 | State: 10 | Score:  972 | Level:  2 | Life Span:         40 | Gen Interval:         40
Time: 1029445000 | State: 10 | Score:  974 | Level:  2 | Life Span:         40 | Gen Interval:         40
Time: 1031495000 | State: 10 | Score:  976 | Level:  2 | Life Span:         40 | Gen Interval:         40
Time: 1033125000 | State: 10 | Score:  976 | Level:  3 | Life Span:         20 | Gen Interval:         20
Time: 1034815000 | State: 10 | Score:  979 | Level:  3 | Life Span:         20 | Gen Interval:         20
Time: 1034825000 | State: 10 | Score:  979 | Level:  4 | Life Span:         10 | Gen Interval:         10
Time: 1035145000 | State: 10 | Score:  983 | Level:  4 | Life Span:         10 | Gen Interval:         10
Time: 1035695000 | State: 10 | Score:  987 | Level:  4 | Life Span:         10 | Gen Interval:         10
Time: 1035905000 | State: 10 | Score:  987 | Level:  5 | Life Span:         60 | Gen Interval:         60
Time: 1037135000 | State: 10 | Score:  992 | Level:  5 | Life Span:         60 | Gen Interval:         60
Time: 1041395000 | State: 10 | Score:  992 | Level:  6 | Life Span:         60 | Gen Interval:         60
Time: 1045065000 | State: 10 | Score:  998 | Level:  6 | Life Span:         60 | Gen Interval:         60
Time: 1045675000 | State: 10 | Score: 1005 | Level:  6 | Life Span:         60 | Gen Interval:         60
Time: 1046885000 | State: 10 | Score: 1005 | Level:  7 | Life Span:         60 | Gen Interval:         60
Time: 1052375000 | State: 10 | Score: 1005 | Level:  8 | Life Span:         60 | Gen Interval:         60
Time: 1057865000 | State: 10 | Score: 1005 | Level:  9 | Life Span:         60 | Gen Interval:         60
Time: 1061535000 | State: 10 | Score: 1014 | Level:  9 | Life Span:         60 | Gen Interval:         60
Time: 1062145000 | State: 10 | Score:    0 | Level:  9 | Life Span:         60 | Gen Interval:         60
Time: 1063355000 | State: 10 | Score:    0 | Level: 10 | Life Span:         60 | Gen Interval:         60
Time: 1066415000 | State: 10 | Score:   10 | Level: 10 | Life Span:         60 | Gen Interval:         60
Time: 1068845000 | State: 10 | Score:   10 | Level: 11 | Life Span:         60 | Gen Interval:         60
Time: 1068855000 | State: 10 | Score:   21 | Level: 11 | Life Span:         60 | Gen Interval:         60
Time: 1070685000 | State: 10 | Score:   32 | Level: 11 | Life Span:         60 | Gen Interval:         60
Time: 1074335000 | State: 10 | Score:   32 | Level: 12 | Life Span:         60 | Gen Interval:         60
Time: 1079825000 | State: 10 | Score:   32 | Level: 13 | Life Span:         60 | Gen Interval:         60
Time: 1081055000 | State: 10 | Score:   45 | Level: 13 | Life Span:         60 | Gen Interval:         60
Time: 1085315000 | State: 10 | Score:   45 | Level: 14 | Life Span:         60 | Gen Interval:         60
Time: 1090805000 | State: 10 | Score:   45 | Level: 15 | Life Span:         60 | Gen Interval:         60
Time: 1090815000 | State: 10 | Score:   60 | Level: 15 | Life Span:         60 | Gen Interval:         60
Time: 1095085000 | State: 10 | Score:   75 | Level: 15 | Life Span:         60 | Gen Interval:         60
Time: 1096295000 | State: 10 | Score:   75 | Level:  0 | Life Span:         60 | Gen Interval:         60
Time: 1105455000 | State: 10 | Score:   76 | Level:  0 | Life Span:         60 | Gen Interval:         60
